,error_x,error_y
227,2.569589,2.5897038
228,14.868128,14.324487
229,10.949579,11.102136
230,2.7156174,2.7052922
231,16.922485,16.659952
232,2.2766128,2.2625697
233,14.303795,13.961948
234,2.4715438,2.4649632
235,2.4020147,2.387124
236,2.783303,2.7756073
237,2.7476997,2.747251
238,2.402153,2.4118526
239,2.268491,2.2586644
240,15.473639,15.620278
241,2.4626215,2.444112
242,2.4369698,2.4175205
243,2.3096645,2.2919216
244,2.5903,2.5837805
245,2.4622824,2.4436045
246,2.5883539,2.5856636
247,2.737807,2.7045004
248,2.3019898,2.3072302
249,2.5754275,2.5657654
250,2.7044826,2.6910393
251,2.3070624,2.3092132
252,2.3275251,2.328919
253,2.405716,2.3949547
254,2.6433668,2.6454215
255,2.7261734,2.7071974
256,2.725432,2.7228854
257,2.600991,2.5790014
258,2.2846363,2.2646503
259,14.432623,14.580816
260,9.770152,9.922864
261,2.582385,2.5655255
262,13.179472,13.163215
263,14.113722,14.202344
264,2.664086,2.653335
265,10.693146,10.866929
266,2.209095,2.185885
267,14.559412,15.068338
268,2.3733356,2.351097
269,15.843699,15.881691
270,13.976412,14.2151785
271,11.520906,11.473622
272,2.8587966,2.8603022
273,15.616417,15.344174
274,2.442073,2.4314473
275,10.228333,10.264681
276,2.4710188,2.4605742
277,11.518865,11.390977
278,2.5804994,2.571522
279,11.103919,11.209135
280,2.4692278,2.4493806
281,2.6677663,2.6635916
282,2.5167918,2.5082593
283,2.665084,2.674578
284,2.2233474,2.2122836
285,2.52497,2.519902
286,2.3158262,2.308083
287,2.4570746,2.4297915
288,2.7917187,2.7625098
289,2.537627,2.5410414
290,2.3721137,2.3639293
291,2.4110787,2.4123712
292,2.9053435,2.9403875
293,2.9377413,2.9040232
294,2.3752794,2.3526325
295,2.5069952,2.4953814
296,2.9136395,2.8877878
297,2.3057725,2.326903
298,2.4865828,2.4898944
299,2.3500013,2.3802397
300,2.5585241,2.5704665
301,2.7097814,2.705264
302,2.490432,2.4974718
303,2.2584229,2.2824614
304,2.3674712,2.3791792
305,18.888018,18.49375
306,2.709595,2.70881
307,2.5597758,2.567215
308,2.2941632,2.2960656
309,14.542681,14.515896
310,2.4408581,2.4334733
311,2.4177265,2.442202
312,14.755356,14.119935
313,2.8236313,2.822228
314,2.6614923,2.6801875
315,2.6624415,2.6453934
316,2.6782143,2.6805208
317,2.7131293,2.6967008
318,2.6949685,2.6812181
319,12.699491,12.609003
320,2.4662447,2.4487143
321,2.9381142,2.9511592
322,2.5331442,2.5145965
323,2.783137,2.7823915
324,17.87269,18.247759
325,2.4195526,2.4083614
326,12.074923,11.960275
327,11.186022,11.427577
328,2.957275,2.9622207
329,2.6159217,2.6108265
330,11.435747,11.521843
331,2.5579758,2.5709615
332,2.6051242,2.6325898
333,2.548866,2.5502276
334,2.9718244,2.9297671
335,2.3121305,2.3148005
336,12.392743,12.318675
